id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
320,2020-9-6-0-50-22-44004,4,3364,-3488,13924,-3872,-7091,-16316
321,2020-9-6-0-50-22-44116,2,-6324,-22476,-9196,-3296,7504,23697
322,2020-9-6-0-50-22-44164,1,20068,-4732,-984,-3376,-4068,-18059
323,2020-9-6-0-50-23-44249,3,-460,-16548,656,-3936,2110,2614
324,2020-9-6-0-50-23-44507,4,-7360,5156,6952,-3856,-6791,-20835
325,2020-9-6-0-50-23-44617,2,-620,-16820,-324,-3296,-9022,286
326,2020-9-6-0-50-23-44666,1,16944,-4952,6480,-3392,-14163,-8648
327,2020-9-6-0-50-23-44749,3,1148,-19072,328,-3904,8686,13248
328,2020-9-6-0-50-23-45008,4,-23760,10144,11260,-3872,-6880,-26631
329,2020-9-6-0-50-23-45121,2,-2448,-16440,-1884,-3328,-5283,-1880
